year,month,day,time,day_of_week
2022,Jun,25,17:30:06,Sat
2022,Jun,25,17:18:58,Sat
2022,Jun,25,17:31:06,Sat
2022,Jun,25,17:32:06,Sat
2022,Jun,25,17:33:05,Sat
2022,Jun,25,17:34:05,Sat
2022,Jun,25,17:35:05,Sat
2022,Jun,25,17:36:05,Sat
2022,Jun,25,17:37:05,Sat
2022,Jun,25,17:38:06,Sat
2022,Jun,25,17:39:06,Sat
2022,Jun,25,17:40:04,Sat
2022,Jun,25,17:41:04,Sat
2022,Jun,25,17:42:05,Sat
2022,Jun,25,17:43:05,Sat
2022,Jun,25,17:44:06,Sat
2022,Jun,25,17:45:05,Sat
2022,Jun,25,17:46:05,Sat
2022,Jun,25,17:47:04,Sat
2022,Jun,25,17:48:05,Sat
2022,Jun,25,17:49:05,Sat
2022,Jun,25,17:50:06,Sat
2022,Jun,25,17:51:04,Sat
2022,Jun,25,17:52:05,Sat
2022,Jun,25,17:53:04,Sat
2022,Jun,25,17:54:05,Sat
2022,Jun,25,17:55:05,Sat
2022,Jun,25,17:56:06,Sat
2022,Jun,25,17:57:05,Sat
2022,Jun,25,17:58:05,Sat
2022,Jun,25,17:59:05,Sat
2022,Jun,25,18:00:05,Sat
2022,Jun,25,18:01:05,Sat
2022,Jun,25,18:02:06,Sat
2022,Jun,25,18:03:04,Sat
2022,Jun,25,18:04:04,Sat
2022,Jun,25,18:05:05,Sat
2022,Jun,25,18:06:06,Sat
2022,Jun,25,18:07:06,Sat
2022,Jun,25,18:08:06,Sat
2022,Jun,25,18:09:06,Sat
